crimes;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106
aix;11;2;19;3;75;4;3873;1;1;82;232;2099;747;261;2;55;1;25;20;4;6;41;11;24;348;461;3214;205;956;925;120;1431;1255;3;1135;625;3622;894;163;5;854;2519;4401;452;23;134;120;168;199;155;0;745;270;100;142;300;2409;16;86;5;5;145;478;1;0;433;1310;1375;32;119;69;582;614;737;5;0;21;42;15;0;262;53;57;11;106;44;6;12;654;999;3425;27;188;97;0;25;16;0;31;11;8;45;1943;8;45;1943
bordeaux;0;0;2;0;11;1;1526;0;2;14;59;535;215;84;0;5;0;2;3;4;3;13;4;10;94;218;424;33;231;173;37;473;441;0;189;186;1224;251;33;1;335;1030;1569;157;1;83;42;77;55;77;0;257;115;30;30;133;767;5;1;1;0;48;275;0;0;282;948;1039;6;33;49;190;191;199;2;0;39;10;8;0;22;4;12;3;29;5;9;2;199;462;1103;18;34;28;1;5;1;0;9;7;1;8;532;1;8;532
clermont-ferrand;0;0;5;0;1;1;1347;1;2;12;60;725;301;81;0;3;0;1;4;4;4;10;6;7;55;91;904;37;208;407;49;306;319;0;354;107;858;250;59;1;218;772;952;74;0;28;34;41;78;80;0;272;99;72;43;103;678;4;9;1;1;38;229;0;2;225;830;819;4;1;3;191;176;152;2;0;5;15;10;0;5;6;11;7;29;14;4;0;570;178;1179;2;17;0;0;3;3;0;3;3;2;9;524;2;9;524
Coefficient;4;8;9;7;7;10;9;6;7;8;3;4;5;5;6;6;6;8;6;6;8;7;5;6;9;6;9;3;5;5;6;2;1;3;4;4;4;3;2;2;2;3;2;4;8;10;10;9;9;9;10;8;7;7;5;5;1;2;5;9;9;6;8;10;10;8;8;7;3;3;3;2;5;6;6;7;5;8;9;10;7;7;7;6;6;8;9;4;6;6;8;5;3;3;5;10;7;2;8;9;10;10;5;10;10;5
grenoble;0;0;2;1;2;1;223;0;0;3;8;76;39;4;1;2;0;0;1;0;3;0;0;4;13;12;96;5;53;17;6;69;73;0;49;46;150;48;7;2;381;149;269;37;1;5;4;9;27;12;0;47;10;3;30;18;147;15;2;0;5;8;22;0;0;30;77;44;0;55;21;34;41;40;2;0;0;2;0;0;59;8;22;1;22;2;5;1;38;46;276;3;36;42;1;20;3;1;4;1;5;21;158;5;21;158
lille;0;0;13;0;28;3;4334;0;0;72;172;2037;780;179;0;4;0;4;13;13;11;47;12;15;367;620;2083;52;799;843;177;1488;1218;1;891;623;3000;1127;125;11;1022;2724;4064;575;5;200;172;254;326;216;1;973;376;96;86;537;2883;21;10;2;4;117;668;1;1;464;2551;2079;28;110;49;591;616;728;8;0;21;26;24;2;91;34;37;28;112;47;7;6;638;1016;3877;39;57;40;0;17;18;1;5;16;6;45;2057;6;45;2057
lyon;1;1;13;0;41;5;6127;1;2;77;194;2394;1002;236;1;19;0;8;15;3;18;54;19;43;327;608;3761;150;1067;1541;148;1273;981;4;1507;543;5201;1152;305;14;1107;3138;3652;501;1;201;249;233;503;333;2;1890;430;155;85;379;3134;10;8;4;3;153;1227;2;1;567;3038;2223;22;13;38;645;730;594;7;1;11;106;29;1;47;28;38;15;126;54;30;19;954;1097;3655;24;66;9;0;20;12;0;13;40;12;30;3384;12;30;3384
marseille;11;2;19;3;75;4;3873;1;1;82;232;2099;747;261;2;55;1;25;20;4;6;41;11;24;348;461;3214;205;956;925;120;1431;1255;3;1135;625;3622;894;163;5;854;2519;4401;452;23;134;120;168;199;155;0;745;270;100;142;300;2409;16;86;5;5;145;478;1;0;433;1310;1375;32;119;69;582;614;737;5;0;21;42;15;0;262;53;57;11;106;44;6;12;654;999;3425;27;188;97;0;25;16;0;31;11;8;45;1943;8;45;1943
montpellier;3;0;2;0;6;0;504;0;0;5;28;273;125;41;0;6;0;0;4;0;0;2;1;0;28;41;82;12;56;42;7;125;45;0;131;180;126;159;14;0;39;252;362;45;0;15;17;22;26;38;0;82;37;23;5;21;305;2;5;0;2;28;154;0;0;46;212;532;0;89;10;39;52;99;3;0;1;10;6;1;24;5;23;3;26;2;0;0;48;56;476;1;74;66;5;12;1;0;2;18;2;17;288;2;17;288
nancy;1;0;3;0;17;1;2979;0;0;37;140;1588;589;120;1;5;0;1;7;5;3;38;20;30;304;446;2022;57;884;988;103;1391;1070;1;1191;411;2555;975;82;9;817;2209;2955;479;1;121;91;132;154;139;1;556;156;66;65;178;2228;4;14;1;0;124;922;2;0;649;2659;1168;10;33;16;500;471;412;8;0;4;21;16;0;71;9;29;8;83;31;0;5;446;792;2708;32;71;34;0;16;16;0;12;16;3;34;1324;3;34;1324
